Type,Location,Area,Floors,Build_life,CO2,Building_Construction_Type
Commercial,Asia-Pacific,46452 to 92903,More than 25,50,401.0,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,401.0,RC
Commercial,North America,Over 92903,More than 25,50,402.0,Steel - Concrete
Commercial,North America,9291 to 18580,1 to 6,50,402.0,RC
Commercial,North America,Over 92903,More than 25,50,405.0,Steel - Concrete
Commercial,North America,18581 to 46451,7 to 14,50,406.0,RC
Residential,Asia-Pacific,2324 to 4645,15 to 25,60,407.1,Steel - Concrete
Commercial,Africa,18581 to 46451,7 to 14,50,408.0,Steel - Concrete
Commercial,North America,930 to 2323,1 to 6,50,409.0,RC
Residential,North America,18581 to 46451,15 to 25,40,411.5,Steel - Concrete
Commercial,Asia-Pacific,9291 to 18580,7 to 14,40,413.0,Steel - Concrete
Commercial,North America,4646 to 9290,1 to 6,50,413.0,RC
Commercial,North America,930 to 2323,1 to 6,75,415.9,RC
Commercial,Middle East,18581 to 46451,1 to 6,50,416.0,RC
Commercial,Asia-Pacific,18581 to 46451,1 to 6,40,417.3,RC
Commercial,North America,18581 to 46451,More than 25,40,417.3,Steel - Concrete
