Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Commercial,Europe,9291 to 18580,"100,001 to 200,000",7 to 14,50,399,399.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",1 to 6,40,320.76,401.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,50,401,401.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,401,401.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,50,402,402.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,402,402.0,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,50,405,405.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,406,406.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,2324 to 4645,"25,001 to 50,000",15 to 25,60,488.57,407.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Africa,18581 to 46451,"200,001 to 500,000",7 to 14,50,408,408.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,409,409.0,RC,95,5,0,0,15,85
Residential,North America,18581 to 46451,"200,001 to 500,000",15 to 25,40,329.21,411.5,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,9291 to 18580,"100,001 to 200,000",7 to 14,40,330.38,413.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,413,413.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,75,623.88,415.9,RC,95,5,0,0,15,85
Commercial,Middle East,18581 to 46451,"200,001 to 500,000",1 to 6,50,416,416.0,RC,95,5,0,0,15,85
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,333.82,417.3,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,333.84,417.3,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,334.13,417.7,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,18581 to 46451,"200,001 to 500,000",1 to 6,40,336.78,421.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",7 to 14,50,421,421.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,4646 to 9290,"50,001 to 100,000",7 to 14,50,422,422.0,Steel - Concrete,0,20,80,0,77,23
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,40,337.64,422.1,Steel - Concrete,0,20,80,0,77,23
Commercial,Europe,2324 to 4645,"25,001 to 50,000",1 to 6,50,423,423.0,RC,95,5,0,0,15,85
Residential,Asia-Pacific,46452 to 92903,"500,001 to 1 million",More than 25,50,424,424.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,424,424.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,425,425.0,RC,95,5,0,0,15,85
Residential,North America,18581 to 46451,"200,001 to 500,000",More than 25,40,341.67,427.1,Steel - Concrete,0,20,80,0,77,23
