Building Type,Location,Foot print (m2),GFA (m2),Floor Count,Life Time (Years),TCO2 (Total),TC02 (Normalized at 50 years),Building_Construction_Type,Wood %,Steel %,Concrete %,Wood EC %,Steel EC %,Concrete EC %
Commercial,Asia-Pacific,46452 to 92903,"500,001 to 1 million",1 to 6,40,923.3,1154.1,RC,95,5,0,0,15,85
Commercial,North America,Over 92903,Over 1 million,More than 25,50,1167,1167.0,Steel - Concrete,0,20,80,0,77,23
Commercial,Asia-Pacific,Over 92903,Over 1 million,15 to 25,40,937.59,1172.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,40,938.69,1173.4,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,1186,1186.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,1187,1187.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,1194,1194.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,1207,1207.0,RC,95,5,0,0,15,85
Commercial,Middle East,4646 to 9290,"50,001 to 100,000",1 to 6,50,1247,1247.0,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,1261,1261.0,RC,95,5,0,0,15,85
Commercial,Europe,46452 to 92903,"500,001 to 1 million",More than 25,40,1031.76,1289.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,1294,1294.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,1314,1314.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,1386,1386.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,1417,1417.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,20,579.01,1447.5,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,1455,1455.0,RC,95,5,0,0,15,85
Residential,Europe,94 to 465,"1,001 to 5,000",1 to 6,50,1465,1465.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",1 to 6,50,1474,1474.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,1479,1479.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,1604,1604.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,1604,1604.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,1604,1604.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",1 to 6,50,1629,1629.0,RC,95,5,0,0,15,85
Commercial,North America,46452 to 92903,"500,001 to 1 million",7 to 14,40,1332.55,1665.7,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,1707,1707.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,1765,1765.0,RC,95,5,0,0,15,85
Commercial,North America,2324 to 4645,"25,001 to 50,000",1 to 6,50,1803,1803.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,1824,1824.0,RC,95,5,0,0,15,85
Commercial,North America,18581 to 46451,"200,001 to 500,000",1 to 6,50,1829,1829.0,RC,95,5,0,0,15,85
Commercial,North America,9291 to 18580,"100,001 to 200,000",7 to 14,50,1874,1874.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,1929,1929.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,2066,2066.0,RC,95,5,0,0,15,85
Commercial,North America,4646 to 9290,"50,001 to 100,000",1 to 6,50,2156,2156.0,RC,95,5,0,0,15,85
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,2156,2156.0,RC,95,5,0,0,15,85
Commercial,Middle East,Over 92903,Over 1 million,More than 25,50,2661,2661.0,Steel - Concrete,0,20,80,0,77,23
Commercial,North America,930 to 2323,"10,001 to 25,000",1 to 6,50,2728,2728.0,RC,95,5,0,0,15,85
Commercial,North America,466 to 929,"5,001 to 10,000",1 to 6,50,2745,2745.0,RC,95,5,0,0,15,85
Commercial,Middle East,46452 to 92903,"500,001 to 1 million",More than 25,40,2521.63,3152.0,Steel - Concrete,0,20,80,0,77,23
